6,7:g,m,s:e,n,z15	1
adelaide	3
agona	45
alachua	1
albany	19
altona	3
anatum	63
berta	14
blockley	3
braenderup	12
brandenburg	15
bredeney	5
cerro	3
chailey	3
derby	75
dublin	19
eko	1
enteritidis	116
hadar	60
heidelberg	150
hindmarsh	1
i 4,12:d:-	3
i 4,12:i:-	9
i 4,5,12:i-	5
i 4,5,12:i:-	4
i 4,[5],12:i:-	23
i 4:i:-	1
i 8,20:-:z6	1
idikan	2
iiia 18:z4,z23:-	4
iiia 40:z4,z23:-	1
infantis	43
javiana	3
johannesburg	19
kentucky	211
krefeld	2
lille	2
litchfield	8
liverpool	3
livingstone	4
london	3
mbandaka	16
meleagridis	5
mississippi	2
montevideo	23
muenchen	60
muenster	9
newport	31
ohio	4
oranienburg	1
panama	1
reading	78
rissen	5
saintpaul	91
schwarzengrund	63
senftenberg	32
si 11a 51:z4,z23:-	1
si 4,12:i:-	5
si 4,12:r:-	1
si 4,5,12:i:-	5
si 6,7:k:-	2
soerenga	1
stanley	1
thompson	9
typhimurium	124
typhimurium var. 5-	193
uganda	1
virchow	1
worthington	10
